[2025-07-20 08:36:28,903] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,220] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,611] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,619] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,620] [INFO] [agent] Signal handlers registered for SIGTERM and SIGINT
[2025-07-20 08:36:29,621] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,621] [INFO] [agent] Signal handlers registered for SIGTERM and SIGINT
[2025-07-20 08:36:29,622] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,623] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,625] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,727] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,728] [INFO] [agent] Registered service 'voting' for shutdown coordination
[2025-07-20 08:36:29,729] [INFO] [agent] Registered service 'agent' for shutdown coordination
[2025-07-20 08:36:29,729] [INFO] [agent] Starting coordinated_shutdown
[2025-07-20 08:36:29,729] [INFO] [agent] Starting coordinated shutdown
[2025-07-20 08:36:29,729] [INFO] [agent] Starting agent_service_stop
[2025-07-20 08:36:29,729] [INFO] [agent] Agent service stopped
[2025-07-20 08:36:29,729] [INFO] [agent] Completed agent_service_stop successfully in 0.000s
[2025-07-20 08:36:29,729] [INFO] [agent] Starting handle_active_votes
[2025-07-20 08:36:29,729] [INFO] [agent] Completed handle_active_votes successfully in 0.000s
[2025-07-20 08:36:29,729] [INFO] [agent] Starting save_service_states
[2025-07-20 08:36:29,729] [INFO] [agent] Saved state for service 'voting'
[2025-07-20 08:36:29,729] [INFO] [agent] Saved state for service 'agent'
[2025-07-20 08:36:29,730] [INFO] [agent] Saved shutdown state to shutdown_state.json
[2025-07-20 08:36:29,730] [INFO] [agent] Completed save_service_states successfully in 0.001s
[2025-07-20 08:36:29,730] [INFO] [agent] Completed coordinated_shutdown successfully in 0.001s
[2025-07-20 08:36:29,731] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,732] [INFO] [agent] Registered service 'voting' for shutdown coordination
[2025-07-20 08:36:29,732] [INFO] [agent] Starting coordinated_shutdown
[2025-07-20 08:36:29,732] [INFO] [agent] Starting coordinated shutdown
[2025-07-20 08:36:29,732] [INFO] [agent] Starting handle_active_votes
[2025-07-20 08:36:29,732] [INFO] [agent] Completed vote vote1
[2025-07-20 08:36:29,732] [INFO] [agent] Cancelled vote vote2
[2025-07-20 08:36:29,732] [INFO] [agent] Completed handle_active_votes successfully in 0.000s
[2025-07-20 08:36:29,732] [INFO] [agent] Starting save_service_states
[2025-07-20 08:36:29,732] [INFO] [agent] Saved state for service 'voting'
[2025-07-20 08:36:29,733] [INFO] [agent] Saved shutdown state to shutdown_state.json
[2025-07-20 08:36:29,733] [INFO] [agent] Completed save_service_states successfully in 0.001s
[2025-07-20 08:36:29,733] [INFO] [agent] Completed coordinated_shutdown successfully in 0.001s
[2025-07-20 08:36:29,734] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,737] [INFO] [agent] Saved shutdown state to /private/var/folders/g6/kxs1vngn63b9zfzdry51x09c0000gn/T/pytest-of-max/pytest-24/test_state_persistence_before_0/shutdown_state.json
[2025-07-20 08:36:29,738] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,739] [WARN] [agent] Detected previous SIGKILL, recovery needed
[2025-07-20 08:36:29,739] [INFO] [agent] Recovering state from 2024-01-01T00:00:00
[2025-07-20 08:36:29,739] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,842] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,843] [INFO] [agent] Registered service 'voting' for shutdown coordination
[2025-07-20 08:36:29,843] [INFO] [agent] Registered service 'agent' for shutdown coordination
[2025-07-20 08:36:29,844] [INFO] [agent] Starting coordinated_shutdown
[2025-07-20 08:36:29,844] [INFO] [agent] Starting coordinated shutdown
[2025-07-20 08:36:29,844] [INFO] [agent] Starting agent_service_stop
[2025-07-20 08:36:29,844] [ERROR] [agent] Failed agent_service_stop after 0.000s: object Mock can't be used in 'await' expression
[2025-07-20 08:36:29,844] [ERROR] [agent] Error stopping agent service: object Mock can't be used in 'await' expression
[2025-07-20 08:36:29,844] [INFO] [agent] Starting handle_active_votes
[2025-07-20 08:36:29,844] [INFO] [agent] Completed handle_active_votes successfully in 0.000s
[2025-07-20 08:36:29,844] [INFO] [agent] Starting save_service_states
[2025-07-20 08:36:29,844] [ERROR] [agent] Error saving state for service 'voting': Save failed
[2025-07-20 08:36:29,844] [INFO] [agent] Saved state for service 'agent'
[2025-07-20 08:36:29,845] [INFO] [agent] Saved shutdown state to shutdown_state.json
[2025-07-20 08:36:29,845] [INFO] [agent] Completed save_service_states successfully in 0.001s
[2025-07-20 08:36:29,845] [INFO] [agent] Completed coordinated_shutdown successfully in 0.002s
[2025-07-20 08:36:29,846] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,849] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:29,850] [INFO] [agent] Received SIGTERM, initiating graceful shutdown
[2025-07-20 08:36:42,911] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:43,202] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:43,562] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:43,571] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:43,571] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:43,575] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:43,575] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:43,577] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:43,578] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:43,579] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:43,580] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:43,581] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:43,581] [ERROR] [agent] Failed to load state test_state: State file test_state has checksum mismatch
[2025-07-20 08:36:43,581] [ERROR] [agent] Failed to load state test_state: State file test_state has checksum mismatch
[2025-07-20 08:36:43,581] [INFO] [agent] Attempting to recover test_state from backup
[2025-07-20 08:36:43,583] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:43,584] [INFO] [agent] Successfully saved state: concurrent_test
[2025-07-20 08:36:43,585] [INFO] [agent] Successfully saved state: concurrent_test
[2025-07-20 08:36:43,585] [INFO] [agent] Successfully saved state: concurrent_test
[2025-07-20 08:36:43,586] [INFO] [agent] Successfully saved state: concurrent_test
[2025-07-20 08:36:43,587] [INFO] [agent] Successfully saved state: concurrent_test
[2025-07-20 08:36:43,589] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:43,590] [INFO] [agent] Successfully saved state: old_state
[2025-07-20 08:36:43,590] [INFO] [agent] Migrated legacy state from /private/var/folders/g6/kxs1vngn63b9zfzdry51x09c0000gn/T/pytest-of-max/pytest-25/test_state_migration_from_old_0/legacy/old_state.json to /private/var/folders/g6/kxs1vngn63b9zfzdry51x09c0000gn/T/pytest-of-max/pytest-25/test_state_migration_from_old_0/old_state.json
[2025-07-20 08:36:43,591] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:43,592] [INFO] [agent] Successfully saved state: sensitive_state
[2025-07-20 08:36:43,594] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:43,595] [INFO] [agent] Successfully saved state: preferences
[2025-07-20 08:36:43,596] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:43,597] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:43,598] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:43,700] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:43,803] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:43,906] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:44,012] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:44,015] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:44,018] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:44,020] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:44,021] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:44,023] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:44,024] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:44,026] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:44,027] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:44,028] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:44,032] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:44,033] [INFO] [agent] Successfully saved state: versioned_state
[2025-07-20 08:36:44,033] [INFO] [agent] Applied migration from 1.0.0 to 2.0.0
[2025-07-20 08:36:44,036] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:44,037] [INFO] [agent] Successfully saved state: test_state
[2025-07-20 08:36:44,037] [ERROR] [agent] Failed to load state corrupted_state: Expecting property name enclosed in double quotes: line 1 column 3 (char 2)
[2025-07-20 08:36:44,040] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:44,061] [INFO] [agent] Successfully saved state: large_state
[2025-07-20 08:36:50,186] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:50,451] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:50,632] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:50,634] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:50,638] [INFO] [agent] KeyManager initialized
[2025-07-20 08:36:50,644] [INFO] [agent] Private key loaded and cached
[2025-07-20 08:36:50,645] [INFO] [agent] KeyManager initialized
[2025-07-20 08:36:50,649] [ERROR] [agent] Key file has insecure permissions
[2025-07-20 08:36:50,649] [ERROR] [agent] Key file has insecure permissions
[2025-07-20 08:36:50,649] [ERROR] [agent] Key file has insecure permissions
[2025-07-20 08:36:50,649] [ERROR] [agent] Key file has insecure permissions
[2025-07-20 08:36:50,649] [ERROR] [agent] Key file has insecure permissions
[2025-07-20 08:36:50,649] [ERROR] [agent] Key file has insecure permissions
[2025-07-20 08:36:50,650] [INFO] [agent] KeyManager initialized
[2025-07-20 08:36:50,650] [ERROR] [agent] Invalid key format detected
[2025-07-20 08:36:50,650] [ERROR] [agent] Invalid key format detected
[2025-07-20 08:36:50,651] [ERROR] [agent] Invalid key format detected
[2025-07-20 08:36:50,651] [ERROR] [agent] Invalid key format detected
[2025-07-20 08:36:50,651] [ERROR] [agent] Invalid key format detected
[2025-07-20 08:36:50,651] [ERROR] [agent] Invalid key format detected
[2025-07-20 08:36:50,651] [ERROR] [agent] Invalid key format detected
[2025-07-20 08:36:50,652] [INFO] [agent] KeyManager initialized
[2025-07-20 08:36:50,653] [ERROR] [agent] Key file not found
[2025-07-20 08:36:50,653] [ERROR] [agent] Key file has insecure permissions
[2025-07-20 08:36:50,654] [INFO] [agent] KeyManager initialized
[2025-07-20 08:36:50,657] [INFO] [agent] Private key loaded and cached
[2025-07-20 08:36:50,658] [INFO] [agent] KeyManager initialized
[2025-07-20 08:36:50,662] [INFO] [agent] Private key loaded and cached
[2025-07-20 08:36:50,662] [INFO] [agent] Private key loaded and cached
[2025-07-20 08:36:50,663] [INFO] [agent] KeyManager initialized
[2025-07-20 08:36:50,666] [INFO] [agent] Private key loaded and cached
[2025-07-20 08:36:50,666] [INFO] [agent] Private key cache cleared
[2025-07-20 08:36:50,666] [INFO] [agent] Private key loaded and cached
[2025-07-20 08:36:50,667] [INFO] [agent] KeyManager initialized
[2025-07-20 08:36:50,671] [INFO] [agent] Private key loaded and cached
[2025-07-20 08:36:57,091] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:57,338] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:57,658] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:58,133] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:58,140] [INFO] [agent] WithdrawalService initialized
[2025-07-20 08:36:58,142] [INFO] [agent] WithdrawalService initialized
[2025-07-20 08:36:58,143] [WARN] [agent] WITHDRAWAL MODE IS ACTIVE - Normal voting disabled
[2025-07-20 08:36:58,145] [INFO] [agent] WithdrawalService initialized
[2025-07-20 08:36:58,145] [INFO] [agent] Found 0 invested positions
[2025-07-20 08:36:58,146] [INFO] [agent] WithdrawalService initialized
[2025-07-20 08:36:58,147] [INFO] [agent] Found 2 invested positions
[2025-07-20 08:36:58,148] [INFO] [agent] WithdrawalService initialized
[2025-07-20 08:36:58,149] [INFO] [agent] Querying positions for Safe 0x1234...safe on chain 1
[2025-07-20 08:36:58,149] [INFO] [agent] Querying positions for Safe 0x5678...safe on chain 100
[2025-07-20 08:36:58,149] [INFO] [agent] Discovered 1 on-chain positions
[2025-07-20 08:36:58,150] [INFO] [agent] WithdrawalService initialized
[2025-07-20 08:36:58,151] [INFO] [agent] Calculated withdrawals for 2 positions at 100% withdrawal rate
[2025-07-20 08:36:58,152] [INFO] [agent] WithdrawalService initialized
[2025-07-20 08:36:58,152] [INFO] [agent] Calculated withdrawals for 1 positions at 50% withdrawal rate
[2025-07-20 08:36:58,153] [INFO] [agent] WithdrawalService initialized
[2025-07-20 08:36:58,155] [INFO] [agent] WithdrawalService initialized
[2025-07-20 08:36:58,155] [INFO] [agent] Executing withdrawal for position aave-usdc-1 amount: 10000.0 USDC
[2025-07-20 08:36:58,156] [INFO] [agent] Withdrawal transaction submitted: 0x1111111111111111111111111111111111111111111111111111111111111111
[2025-07-20 08:36:58,158] [INFO] [agent] WithdrawalService initialized
[2025-07-20 08:36:58,158] [INFO] [agent] Executing withdrawal for position compound-dai-1 amount: 5000.0 DAI
[2025-07-20 08:36:58,158] [ERROR] [agent] Withdrawal attempt 1 failed: Network error
[2025-07-20 08:36:58,159] [INFO] [agent] Withdrawal transaction submitted: 0x3333333333333333333333333333333333333333333333333333333333333333
[2025-07-20 08:36:58,160] [INFO] [agent] WithdrawalService initialized
